,cant_carga,total_trips,demanda
0,20.0,1.0,20.0
1,0.0,0.0,0.0
2,180.0,3.0,540.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,200.0,4.0,800.0
6,10.0,2.0,20.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,128.0,4.0,512.0
11,30.0,2.0,60.0
12,30.0,2.0,60.0
13,35.0,37.0,1295.0
14,0.0,0.0,0.0
15,20.0,2.0,40.0
16,15.0,3.0,45.0
17,42.0,2.0,84.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,20.0,1.0,20.0
22,65.0,4.0,260.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,21.0,3.0,63.0
26,45.0,6.0,270.0
27,30.0,4.0,120.0
28,9.0,2.0,18.0
29,30.0,2.0,60.0
30,35.0,2.0,70.0
31,20.0,1.0,20.0
32,25.0,4.0,100.0
33,30.0,3.0,90.0
34,14.0,2.0,28.0
35,18.0,2.0,36.0
36,10.0,2.0,20.0
37,8.0,1.0,8.0
38,0.0,0.0,0.0
39,70.0,1.0,70.0
40,800.0,7.0,5600.0
41,0.0,0.0,0.0
42,10.0,1.0,10.0
43,40.0,7.0,280.0
44,25.0,4.0,100.0
45,0.0,0.0,0.0
46,10.0,2.0,20.0
47,0.0,0.0,0.0
48,10.0,2.0,20.0
49,50.0,2.0,100.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,5.0,2.0,10.0
53,150.0,1.0,150.0
54,13.0,2.0,26.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,10.0,1.0,10.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,10.0,2.0,20.0
61,0.0,0.0,0.0
62,8.0,2.0,16.0
63,100.0,6.0,600.0
64,100.0,7.0,700.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,30.0,6.0,180.0
78,0.0,0.0,0.0
79,30.0,6.0,180.0
80,0.0,2.0,0.0
81,0.0,0.0,0.0
82,50.0,3.0,150.0
83,0.0,0.0,0.0
84,50.0,4.0,200.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,700.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,7.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,2.0,0.0
104,0.0,2.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
